month,average_price
2015-01,414.56323100953165
2015-02,689.0001382656583
2015-03,1260.4921536742393
2015-04,1712.2175304484713
2015-05,1668.6491184228562
2015-06,1363.3389223086692
2015-07,1652.1059625926111
2015-08,2025.1789401520068
2015-09,2297.864659659266
2015-10,2422.1060727923605
2015-11,2388.896908505587
2015-12,2385.4127736764744
2016-01,2521.0528842263134
2016-02,2199.9478278082106
2016-03,1636.2731364585272
2016-04,1921.748598997247
2016-05,1713.9843191156835
2016-06,1759.5890868169795
2016-07,2046.5115458602093
2016-08,2190.208425732954
2016-09,2610.143125662594
2016-10,3593.3496753188847
2016-11,3062.0547815283603
2016-12,2329.206655938921
2017-01,2467.2702458646304
2017-02,2577.778593120768
2017-03,2799.046343989319
2017-04,2932.024534759174
2017-05,2411.162562259536
2017-06,2542.7088665484293
2017-07,2406.4398688347305
2017-08,2355.942161907025
2017-09,1885.5603057710462
2017-10,2050.542989777688
2017-11,2875.8966089700352
2017-12,3916.7209847082086
2018-01,3363.4394407334057
2018-02,4085.2978842387747
2018-03,4364.661313587869
2018-04,3855.5862043246825
2018-05,5143.821287531567
2018-06,4527.547383192499
2018-07,5390.262457495715
2018-08,5973.785847846235
2018-09,5344.153852240626
2018-10,5840.177914151256
2018-11,5359.967538466282
2018-12,5550.176203242585
2019-01,4959.867278257461
2019-02,4101.186174797824
2019-03,3732.4855073008157
2019-04,3387.6201295600986
2019-05,2687.006326616151
2019-06,2057.3031327040726
2019-07,1761.3707295831807
2019-08,1422.8334969683344
2019-09,1702.2110516800622
2019-10,1579.9343245625682
2019-11,1141.4187512314788
2019-12,898.0172603299146
